time_s,V_TX_uM_s,V_nt_deg_uM_s,V_RS_uM_s,V_TL_uM_s,V_TL_deg_uM_s,V_EN_uM_s,D_nt_uM,D_TLcat_uM
8350,0.040107379950693,0.0194315778929355,0.00622987278129058,0.00621399701601284,8.65830470016459e-05,0.0186716452840829,90.0590699815098,1.73449974730298
8360,0.0401072281448468,0.0194479465851856,0.00622082032837847,0.00620495856043652,8.64221522128706e-05,0.0186445037793926,90.2534676148058,1.73536477304909
8370,0.0401070763191861,0.0194643021983734,0.00621177578740613,0.00619592805071353,8.626155641027e-05,0.0186173860490359,90.4480288696207,1.73622819134264
8380,0.040106924473707,0.0194806447428376,0.00620273917780365,0.00618690550593975,8.61012590382373e-05,0.0185902921509351,90.6427536152151,1.73709000517077
8390,0.0401067726084056,0.0194969742289089,0.00619371051880939,0.00617789094503353,8.59412595422057e-05,0.0185632221424438,90.8376417209537,1.73795021751503
8400,0.0401066207232779,0.0195132906669098,0.00618468982948372,0.00616888438673612,8.57815573686387e-05,0.0185361760803839,91.032693056304,1.73880883135141
8410,0.0401064688183202,0.0195295940671546,0.00617567712871015,0.00615988584961262,8.56221519650275e-05,0.0185091540210487,91.2279074908368,1.73966584965039
8420,0.0401063168935284,0.0195458844399494,0.0061666724351964,0.006150895352053,8.54630427798894e-05,0.0184821560202067,91.4232848942261,1.74052127537694
8430,0.0401061649488986,0.0195621617955921,0.00615767576747558,0.00614191291227307,8.53042292627657e-05,0.0184551821331046,91.6188251362487,1.74137511149051
8440,0.040106012984427,0.0195784261443725,0.00614868714390729,0.0061329385483154,8.51457108642199e-05,0.0184282324144707,91.8145280867846,1.74222736094506
8450,0.0401058610001096,0.0195946774965724,0.00613970658267874,0.00612397227805038,8.49874870358353e-05,0.0184013069185184,92.0103936158163,1.74307802668906
8460,0.0401057089959424,0.0196109158624652,0.00613073410178804,0.00611501411917798,8.48295572302255e-05,0.0183744056988945,92.2064215934296,1.74392711166546
8470,0.0401055569719217,0.0196271412523161,0.00612176971891312,0.00610606408923525,8.46719209011213e-05,0.0183475288082734,92.4026118898146,1.74477461881118
8480,0.0401054049280435,0.0196433536763825,0.0061128134518394,0.00609712220557627,8.45145775030809e-05,0.0183206762996797,92.5989643752607,1.74562055105871
8490,0.0401052528643038,0.0196595531449134,0.0061038653180614,0.00608818848539272,8.43575264917579e-05,0.0182938482252561,92.7954789201613,1.74646491133464
8500,0.0401051007806988,0.01967573966815,0.00609492533490543,0.00607926294570889,8.42007673238167e-05,0.0182670446366428,92.9921553950121,1.74730770256013
8510,0.0401049486772245,0.019691913256325,0.00608599351953068,0.00607034560338262,8.4044299456931e-05,0.0182402655849805,93.1889936704114,1.74814892765091
