time_s,NTP,NXP,nt,A,T,AT,a,CP,C,TLcat,M,D_nt,D_TLcat,V_TX,V_nt_deg,V_RS,V_TL,V_TL_deg,V_EN,mRNA,protein,diag_tau_M,diag_tau_A,diag_tau_NTP,diag_tau_T,diag_tau_slow_state,diag_epsilon_state,diag_dh_dt,diag_tau_slow_track,diag_epsilon_track
7180,1427.85442276678,0.111151773223408,219.990618308118,292.659008312553,0.0204277186347888,1.87957228136522,60.3596638960335,19732.5718351423,267.428164857677,0.578670157664766,0.00784491005717341,68.4806939414972,1.62132984233523,0.0401250056661439,0.017423256970003,0.00738772069759782,0.00727193261234273,0.000107632649325647,0.0219463147917681,0.308110109675235,0.253612033176611,0.000602807208669684,812165.212835648,149587.827430721,754827.23293549,149587.827430721,4.02978784452808e-09,-6.12593823961602e-08,2611844.81040457,2.30797483169113e-10
7190,1427.75414740767,0.111004513084688,220.217545172521,292.655316902593,0.0204025496686232,1.87959745033138,60.4323349353167,19732.3525169919,267.647483008109,0.57759483153491,0.00784429752914192,68.6550163861964,1.62240516846509,0.0401248561511123,0.0174412295776637,0.00737804217619422,0.00726227588762316,0.000107432638665493,0.0219173170968612,0.308427934415296,0.253917373677801,0.000602810078743903,813230.619182223,149588.363640429,754969.353158061,149588.363640429,4.02979258595875e-09,-6.12462239521883e-08,2612405.95215965,2.30749006771158e-10
7200,1427.65387240793,0.110857310566154,220.444290887346,292.651630331068,0.0203773855149897,1.87962261448501,60.5049094271467,19732.1334887628,267.866511237185,0.576521503652713,0.00784368513264633,68.8295184852275,1.62347849634729,0.0401247066167279,0.0174591878382778,0.00736836693996968,0.00725262312932821,0.000107232999679405,0.0218883305441239,0.308745505444462,0.254222308517423,0.000602812948216448,814298.461364877,149588.899643266,755115.971347537,149588.899643266,4.02979732890617e-09,-6.12330752233757e-08,2612966.92051358,2.30700566273516e-10
7210,1427.55359776743,0.110710166423764,220.670855595811,292.647948596322,0.0203522263215155,1.87964777367849,60.5773874114256,19731.9147503429,268.085249657064,0.575450170304883,0.00784307286758928,69.0042000951768,1.62454982969512,0.0401245570629868,0.0174771317631882,0.00735869504134459,0.00724297438552257,0.000107033731676708,0.0218593552826355,0.309062822963321,0.254526837863133,0.000602815817085103,815368.741754417,149589.435441265,755267.064286415,149589.435441265,4.02980207330077e-09,-6.12199362533256e-08,2613527.71322607,2.3065216184029e-10
7220,1427.45332348602,0.110563081408236,220.897239441024,292.644271696674,0.0203270722348857,1.87967292776512,60.6497689285333,19731.6963016186,268.303698381387,0.574380827785031,0.00784246073387297,69.1790610727439,1.62561917221497,0.040124407489885,0.0174950613637291,0.00734902653238233,0.0072333297039365,0.000106834833968016,0.0218303914604483,0.309379887172303,0.254830961884594,0.000602818685347669,816441.462733504,149589.971036347,755422.609021003,149589.971036347,4.02980681907611e-09,-6.12068070853561e-08,2614088.32806573,2.30603793634517e-10
7230,1427.35304956357,0.110416056265084,221.123442565979,292.640599630417,0.020301923400849,1.87969807659916,60.7220540193236,19731.4781424747,268.521857525267,0.573313472393651,0.00784184873139917,69.3541012747417,1.62668652760635,0.0401242578974185,0.0175129766512256,0.00733936146479139,0.00722368913196773,0.000106636305865219,0.0218014392245933,0.30969669827168,0.255134680753461,0.000602821553001965,817516.626702524,149590.506430524,755582.582857022,149590.506430524,4.0298115661634e-09,-6.11936877623622e-08,2614648.76281586,2.30555461817653e-10
7240,1427.25277599994,0.110269091734644,221.349465113556,292.636932395816,0.0202767799642229,1.87972322003578,60.7942427251208,19731.2602727947,268.739727205274,0.57224810043811,0.00784123686006922,69.5293205580963,1.62775189956189,0.0401241082855833,0.0175308776369936,0.00732969988992753,0.00721405271668321,0.000106438146681489,0.0217724987210869,0.310013256461563,0.255437994643365,0.000602824420045827,818594.236075829,149591.041625774,755746.963355095,149591.041625774,4.02981631449488e-09,-6.11805783269031e-08,2615209.01527083,2.30507166549898e-10
7250,1427.15250279499,0.11012218855199,221.575307226521,292.633269991113,0.0202516420688785,1.87974835793113,60.8663350877298,19731.0426924605,268.957307539469,0.571184708232652,0.00784062511978403,69.704718779847,1.62881529176735,0.0401239586543755,0.0175487643323405,0.00732004185878824,0.00720442050482123,0.000106240355731273,0.0217435700949129,0.310329561941906,0.255740903729957,0.000602827286477112,819674.293283495,149591.576624017,755915.728377796,149591.576624017,4.02982106400452e-09,-6.11674788212299e-08,2615769.08323492,2.30458907990302e-10
7260,1427.05222994859,0.109975347446586,221.800969047529,292.629612414521,0.0202265098576792,1.87977349014233,60.938331149475,19730.8254013525,269.174598647525,0.570123292098435,0.00784001351044403,69.8802957971464,1.62987670790156,0.0401238090037911,0.0175666367485643,0.00731038742199084,0.0071947925427941,0.000106042932330309,0.0217146534899546,0.310645614912505,0.256043408191071,0.000602830152293695,820756.800772303,149592.111426863,756088.856248114,149592.111426863,4.02982581463477e-09,-6.11543892874798e-08,2616328.96451403,2.30410686297496e-10
7270,1426.95195746061,0.109828569143679,222.02645071912,292.625959664231,0.0202013834727258,1.87979861652728,61.0102309530424,19730.6083993498,269.391600650238,0.56906384836333,0.00783940203194934,70.0560514672594,1.63093615163667,0.0401236593338262,0.0175844948969543,0.0073007366298613,0.00718516887668686,0.000105845875795579,0.0216857490492694,0.310961415572997,0.256345508206061,0.000602833017493464,821841.76099934,149592.64603643,756266.325158002,149592.64603643,4.02983056631446e-09,-6.11413097670389e-08,2616888.65694296,2.30362501627292e-10
