time_s,time_h,NTP_uM,NXP_uM,nt_uM,A_uM,T_uM,AT_uM,a_uM,CP_uM,C_uM,TLcat_uM,D_nt_uM,D_TLcat_uM,mRNA_molecules_uM,protein_molecules_uM
3340,0.927777777777778,1466.38975783637,0.158123820449229,117.986816499291,294.339096898198,0.00395859633982832,1.89604140366017,26.0001574676539,19834.9397468796,165.060253120327,1.18201115977394,16.2960283347803,1.01798884022606,0.16524764215587,0.109244359107789
3350,0.930555555555556,1466.28931094154,0.158101831561798,118.295058428813,294.333899227295,0.00395809855471984,1.89604190144528,26.1040879875927,19834.6279104328,165.372089567146,1.17981466239269,16.3895959734584,1.02018533760731,0.165679353541755,0.109681041964675
3360,0.933333333333333,1466.18886469515,0.158078673019638,118.60305490386,294.328702270291,0.00395757107700973,1.89604242892299,26.2080028637002,19834.316118382,165.683881617985,1.1776222466994,16.4834076425319,1.0223777533006,0.166110721153866,0.110117659091177
3370,0.936111111111111,1466.08841909514,0.158054353192559,118.91080611858,294.323506065533,0.00395701411832573,1.89604298588167,26.3119013387627,19834.0043730169,165.995626983099,1.1754339051092,16.5774631476777,1.02456609489081,0.166541745264117,0.110554207305726
3380,0.938888888888889,1465.98797413948,0.158028880398305,119.218312266965,294.318310651095,0.00395642788899195,1.89604357211101,26.415782660969,19833.6926766109,166.307323389061,1.17324963005126,16.6717622947265,1.02675036994874,0.166972426144209,0.11099068344945
3390,0.941666666666667,1465.88752982614,0.158002262895652,119.525573542856,294.313116064747,0.00395581259787685,1.89604418740212,26.5196460845348,19833.3810314193,166.618968580653,1.17106941396898,16.7663048896626,1.02893058603102,0.167402764065625,0.111427084388802
3400,0.944444444444444,1465.78708615313,0.157974508900403,119.83259013994,294.307922344028,0.00395516845274826,1.89604483154725,26.6234908682485,19833.0694396835,166.930560316465,1.16889324931965,16.8610907386236,1.03110675068036,0.167832759299635,0.111863407009448
3410,0.947222222222222,1465.68664311844,0.15794562657585,120.139362251747,294.3027295262,0.00395449566006321,1.89604550433994,26.7273162763345,19832.7579036285,167.242096371511,1.16672112857456,16.9561196479006,1.03327887142544,0.168262412117293,0.112299648219893
3420,0.95,1465.58620072009,0.157915624033556,120.44589007166,294.297537648257,0.00395379442498575,1.89604620557501,26.8311215783809,19832.446425463,167.553574537006,1.16455304421905,17.0513914239378,1.03544695578095,0.16869172278944,0.11273580495118
3430,0.952777777777778,1465.48575895611,0.157884509334706,120.752173792903,294.292346746926,0.00395306495141797,1.89604693504858,26.9349060492142,19832.13500738,167.864992619989,1.1623889887524,17.1469058733326,1.0376110112476,0.169120691586699,0.113171874156362
3440,0.955555555555556,1465.38531782453,0.157852290490483,121.058213608551,294.287156858672,0.00395230744200909,1.89604769255799,27.038668968863,19831.8236515568,168.176348443212,1.16022895468782,17.2426628028351,1.03977104531218,0.169549318779483,0.113607852810349
3450,0.958333333333333,1465.28487732342,0.1578189754621,121.364009711523,294.281968019697,0.00395152209815692,1.89604847790184,27.1424096225508,19831.5123601548,168.487639845121,1.15807293455245,17.3386620193486,1.04192706544756,0.169977604637988,0.114043737909877
3460,0.961111111111111,1465.18443745083,0.157784572151234,121.669562294588,294.2767802659,0.00395070911979534,1.8960492908802,27.24612730149,19831.2011353177,168.798864682255,1.15592092088746,17.4349033299293,1.04407907911254,0.170405549432196,0.114479526476849
3470,0.963888888888889,1465.08399820486,0.157749088425421,121.97487155036,294.271593632985,0.00394986870596147,1.89605013129404,27.3498213007561,19830.8899791772,169.110020822815,1.15377290624765,17.5313865417854,1.04622709375235,0.170833153431876,0.114915215549395
3480,0.966666666666667,1464.98355958358,0.157712532097591,122.279937671302,294.266408156374,0.00394900105433993,1.89605099894566,27.4534909209918,19830.5788938481,169.421106151825,1.15162888320174,17.6281114622781,1.04837111679827,0.171260416906585,0.115350802189041
