time_s,V_TX_uM_s,V_nt_deg_uM_s,V_RS_uM_s,V_TL_uM_s,V_TL_deg_uM_s,V_EN_uM_s,D_nt_uM,D_TLcat_uM
4840,0.0909984996109706,0.0290307724090802,0.0141987736850839,0.0141683458847178,0.00016632838116602,0.0425617844860921,74.7883323944716,1.30576139158054
4850,0.0909976887577947,0.0290798310980946,0.0141815895849785,0.0141511405137342,0.000166019297913601,0.0425102071114423,75.0788854449218,1.30742312949676
4860,0.0909968776609599,0.0291288503059718,0.0141643938141392,0.0141339239497129,0.000165710789021702,0.0424585952772583,75.3699288848304,1.30908177945321
4870,0.0909960663203552,0.0291778300637753,0.014147186635293,0.0141166964521026,0.00016540285342303,0.0424069497671113,75.6614623195419,1.31073734718801
4880,0.0909952547358694,0.0292267704025443,0.0141299683098375,0.0140994582783098,0.000165095490052237,0.042355271360966,75.9534853547105,1.31238983842883
4890,0.0909944429073911,0.0292756713532932,0.014112739096949,0.0140822096837195,0.000164788697845967,0.0423035608320722,76.2459975963009,1.31403925889265
4900,0.0909936308348092,0.0293245329470117,0.0140954992537215,0.014064950921711,0.000164482475742838,0.0422518189474408,76.5389986505877,1.31568561428581
4910,0.0909928185180124,0.029373355214665,0.0140782490352405,0.0140476822436721,0.000164176822683444,0.0422000464680896,76.8324881241556,1.31732891030406
4920,0.0909920059568892,0.0294221381871935,0.0140609886946,0.0140304038990149,0.000163871737610343,0.0421482441490955,77.1264656238984,1.31896915263256
4930,0.0909911931513283,0.0294708818955133,0.0140437184829205,0.0140131161351907,0.000163567219468061,0.0420964127396469,77.4209307570195,1.32060634694591
4940,0.0909903801012183,0.0295195863705157,0.0140264386489126,0.0139958191977082,0.000163263267203106,0.0420445529816161,77.7158831310317,1.32224049890803
4950,0.0909895668064477,0.0295682516430675,0.014009149439827,0.0139785133301421,0.000162959879763919,0.041992665612653,78.0113223537562,1.32387161417248
4960,0.0909887532669051,0.0296168777440111,0.0139918511009618,0.0139611987741513,0.000162657056100894,0.0419407513645731,78.3072480333225,1.32549969838229
