reaction_id,aminoacylation_subsystems,full_subsystem_files,interface_with_other_modules,n_reactants,n_products,reactants,products,net_stoichiometry,is_degradation_sink,k1_author_value,k1_is_zero,rate_law,pathway_membership
re0000000188,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,Gly:1|GlyRS_tRNAGlyGCC:1,GlyRS_Gly_tRNAGlyGCC:1,Gly:-1|GlyRS_Gly_tRNAGlyGCC:+1|GlyRS_tRNAGlyGCC:-1,false,20.0,false,k1 * GlyRS_tRNAGlyGCC * Gly,Gly
re0000000189,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_GlyAMP_tRNAGlyGCC:1|PPi:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:-1|GlyRS_GlyAMP_tRNAGlyGCC:+1|PPi:+1,false,1000.0,false,k1 * GlyRS_GlyAMP_PPi_tRNAGlyGCC,Gly
re0000000190,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_Gly_tRNAGlyGCC:1,Gly:1|GlyRS_tRNAGlyGCC:1,Gly:+1|GlyRS_Gly_tRNAGlyGCC:-1|GlyRS_tRNAGlyGCC:+1,false,470.0,false,k1 * GlyRS_Gly_tRNAGlyGCC,Gly
re0000000191,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,ATP:1|GlyRS_tRNAGlyGCC:1,GlyRS_ATP_tRNAGlyGCC:1,ATP:-1|GlyRS_ATP_tRNAGlyGCC:+1|GlyRS_tRNAGlyGCC:-1,false,10.0,false,k1 * GlyRS_tRNAGlyGCC * ATP,Gly
re0000000192,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_ATP_tRNAGlyGCC:1,ATP:1|GlyRS_tRNAGlyGCC:1,ATP:+1|GlyRS_ATP_tRNAGlyGCC:-1|GlyRS_tRNAGlyGCC:+1,false,8900.0,false,k1 * GlyRS_ATP_tRNAGlyGCC,Gly
re0000000193,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,Gly:1|GlyRS_ATP_tRNAGlyGCC:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,Gly:-1|GlyRS_ATP_tRNAGlyGCC:-1|GlyRS_Gly_ATP_tRNAGlyGCC:+1,false,0.024,false,k1 * GlyRS_ATP_tRNAGlyGCC * Gly,Gly
re0000000194,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_Gly_ATP_tRNAGlyGCC:1,Gly:1|GlyRS_ATP_tRNAGlyGCC:1,Gly:+1|GlyRS_ATP_tRNAGlyGCC:+1|GlyRS_Gly_ATP_tRNAGlyGCC:-1,false,3.2,false,k1 * GlyRS_Gly_ATP_tRNAGlyGCC,Gly
re0000000195,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,ATP:1|GlyRS_Gly_tRNAGlyGCC:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,ATP:-1|GlyRS_Gly_ATP_tRNAGlyGCC:+1|GlyRS_Gly_tRNAGlyGCC:-1,false,10.0,false,k1 * GlyRS_Gly_tRNAGlyGCC * ATP,Gly
re0000000196,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_Gly_ATP_tRNAGlyGCC:1,ATP:1|GlyRS_Gly_tRNAGlyGCC:1,ATP:+1|GlyRS_Gly_ATP_tRNAGlyGCC:-1|GlyRS_Gly_tRNAGlyGCC:+1,false,4500.0,false,k1 * GlyRS_Gly_ATP_tRNAGlyGCC,Gly
re0000000197,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,1,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:+1|GlyRS_Gly_ATP_tRNAGlyGCC:-1,false,2.0,false,k1 * GlyRS_Gly_ATP_tRNAGlyGCC,Gly
re0000000198,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:-1|GlyRS_Gly_ATP_tRNAGlyGCC:+1,false,0.0,true,k1 * GlyRS_GlyAMP_PPi_tRNAGlyGCC,Gly
re0000000199,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,GlyRS:1|tRNAGlyGCC:1,GlyRS_tRNAGlyGCC:1,GlyRS:-1|GlyRS_tRNAGlyGCC:+1|tRNAGlyGCC:-1,false,376.0,false,k1 * GlyRS * tRNAGlyGCC,Gly
re0000000200,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,GlyRS_Gly:1|tRNAGlyGCC:1,GlyRS_Gly_tRNAGlyGCC:1,GlyRS_Gly:-1|GlyRS_Gly_tRNAGlyGCC:+1|tRNAGlyGCC:-1,false,376.0,false,k1 * GlyRS_Gly * tRNAGlyGCC,Gly
