reaction_id,pathway,in_selected_cycle,route_class,reactants,products,k1_author,active_at_reference,subsystem_files
re0000000229,Met,false,degradation_sink,MetRS_MettRNAfMetCAU:1,MetRS_degraded:1|MettRNAfMetCAU:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000230,Met,false,enzyme_cycle_or_branch,MetRS_tRNAfMetCAU:1|Met:1,MetRS_Met_tRNAfMetCAU:1,5.0,true,Aminoacylation_B_fMetCAU
re0000000231,Met,true,enzyme_cycle_or_branch,MetRS_MetAMP_PPi_tRNAfMetCAU:1,MetRS_MetAMP_tRNAfMetCAU:1|PPi:1,1000.0,true,Aminoacylation_B_fMetCAU
re0000000232,Met,false,enzyme_cycle_or_branch,MetRS_Met_tRNAfMetCAU:1,MetRS_tRNAfMetCAU:1|Met:1,350.0,true,Aminoacylation_B_fMetCAU
re0000000233,Met,false,enzyme_cycle_or_branch,MetRS_tRNAfMetCAU:1|ATP:1,MetRS_ATP_tRNAfMetCAU:1,10.0,true,Aminoacylation_B_fMetCAU
re0000000234,Met,false,enzyme_cycle_or_branch,MetRS_ATP_tRNAfMetCAU:1,MetRS_tRNAfMetCAU:1|ATP:1,2500.0,true,Aminoacylation_B_fMetCAU
re0000000235,Met,false,enzyme_cycle_or_branch,MetRS_ATP_tRNAfMetCAU:1|Met:1,MetRS_Met_ATP_tRNAfMetCAU:1,5.0,true,Aminoacylation_B_fMetCAU
re0000000236,Met,false,enzyme_cycle_or_branch,MetRS_Met_ATP_tRNAfMetCAU:1,MetRS_ATP_tRNAfMetCAU:1|Met:1,350.0,true,Aminoacylation_B_fMetCAU
re0000000237,Met,false,enzyme_cycle_or_branch,MetRS_Met_tRNAfMetCAU:1|ATP:1,MetRS_Met_ATP_tRNAfMetCAU:1,10.0,true,Aminoacylation_B_fMetCAU
re0000000238,Met,false,enzyme_cycle_or_branch,MetRS_Met_ATP_tRNAfMetCAU:1,MetRS_Met_tRNAfMetCAU:1|ATP:1,2500.0,true,Aminoacylation_B_fMetCAU
re0000000239,Met,false,enzyme_cycle_or_branch,MetRS_Met_ATP_tRNAfMetCAU:1,MetRS_MetAMP_PPi_tRNAfMetCAU:1,200.0,true,Aminoacylation_B_fMetCAU
re0000000240,Met,false,enzyme_cycle_or_branch,MetRS_MetAMP_PPi_tRNAfMetCAU:1,MetRS_Met_ATP_tRNAfMetCAU:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000241,Met,false,enzyme_cycle_or_branch,MetRS:1|tRNAfMetCAU:1,MetRS_tRNAfMetCAU:1,50.0,true,Aminoacylation_B_fMetCAU
re0000000242,Met,false,enzyme_cycle_or_branch,MetRS_Met:1|tRNAfMetCAU:1,MetRS_Met_tRNAfMetCAU:1,50.0,true,Aminoacylation_B_fMetCAU
re0000000243,Met,false,enzyme_cycle_or_branch,MetRS_tRNAfMetCAU:1,MetRS:1|tRNAfMetCAU:1,150.0,true,Aminoacylation_B_fMetCAU
re0000000244,Met,false,enzyme_cycle_or_branch,MetRS_Met_tRNAfMetCAU:1,MetRS_Met:1|tRNAfMetCAU:1,150.0,true,Aminoacylation_B_fMetCAU
re0000000245,Met,false,enzyme_cycle_or_branch,MetRS_ATP:1|tRNAfMetCAU:1,MetRS_ATP_tRNAfMetCAU:1,50.0,true,Aminoacylation_B_fMetCAU
